Feature,scaled_accuracy_th,scaled_f1_th,scaled_cohens_th,scaled_mcc_th,scaled_youden_th,accuracy_th,f1_th,cohens_th,mcc_th,youden_th
"EF  baseline (in %, numeric) ",0.8200000000000001,0.86,0.66,0.66,0.45,62.099999999999994,65.1,51.15,51.15,36.15
EMB:  CD3  (numeric),0.3,0.31,0.3,0.31,0.18,14.7894,14.7894,13.941600000000001,14.7894,8.5722
EMB: CD45 (numeric) ,0.20999999999999996,0.20999999999999996,0.09999999999999998,0.09999999999999998,0.09999999999999998,42.574799999999996,42.574799999999996,22.5396,22.5396,22.5396
EMB: LFA1 (numeric),0.12,0.13,0.12,0.12,0.05,32.52768,32.52768,32.52768,32.52768,13.116
EMB:  Perforin (numeric) ,0.22,0.4,0.16,0.4,0.06,3.6165999999999996,6.6248,2.7039999999999997,3.6165999999999996,0.20279999999999998
EMB: Mac (numeric),0.25,0.28,0.25,0.25,0.16,53.998000000000005,59.682,53.998000000000005,53.998000000000005,36.134
EMB: HLA1 (numeric) ,0.64,0.64,0.3,0.28,0.28,14.533199999999999,14.533199999999999,7.5308399999999995,7.134479999999999,7.134479999999999
EMB: CD54 (nuermic),0.5199999999999999,0.5199999999999999,0.30999999999999994,0.30999999999999994,0.30999999999999994,4.31494,4.31494,2.6156200000000003,2.6156200000000003,2.6156200000000003
EMB:  VCAM (numeric),0.1,0.44,0.1,0.1,0.07,0.11220000000000001,1.1022,0.11220000000000001,0.11220000000000001,0.0704
